Palavra;Frequência
numeros;6
concurso;6
hoje;6
sorteados;6
resultado;6
dia;6
menor;5
trump;3
roubados;3
margens;3
diario;3
reduzir;3
dolar;3
bombeiros;3
novo;3
1140;3
cerca;3
inflacao;3
resumao;3
manter;3
sorte;3
relator;3
danificou;3
pacientes;3
usinas;3
50;3
jornal;3
area;3
frente;3
rodovia;3
17;3
energia;3
viatura;3
mt;3
timemania;3
saude;3
manaus;3
eua;3
pessoas;3
invadir;3
cafe;3
projeto;3
celulares;3
flagra;3
golpistas;3
producao;3
parana;3
nasce;3
2319;3
confederacao;3
jn;3
27;3
foco;3
cop30;3
restrita;3
unidade;3
nacional;3
outubro;3
agencia;3
mil;3
saiba;3
cotacao;3
especifica;3
porta;3
tornado;3
dentro;3
tarifas;3
voltaram;3
meses;3
confronto;3
casas;3
bebe;3
rendidos;3
atinge;3
paises;3
competencias;3
antifaccao;3
texto;3
destruiu;3
inss;3
pf;3
nucleares;3
registra;3
debates;3
anos;3
grupo;2
pavilhao;2
negociadores;2
principal;2
tentar;2
tentarem;1
mes;1
baixa;1
