Título da Notícia;Link
"Polícia investiga maus-tratos contra dois filhotes de cães no interior de SP";https://g1.globo.com/sp/presidente-prudente-e-regiao/noticia/2025/11/06/policia-investiga-maus-tratos-contra-dois-filhotes-de-caes-no-interior-de-sp.ghtml
"Vídeo mostra jovem que se perdeu ao ir para casa de tia momentos antes de ser morta por membro de facção";https://g1.globo.com/ce/ceara/noticia/2025/11/06/video-mostra-jovem-que-se-perdeu-ao-ir-para-casa-de-tia-momentos-antes-de-ser-morta-por-membro-de-faccao.ghtml
"Mais de 50 celulares são encontrados presos ao corpo de mulher durante abordagem na Raposo Tavares no interior de SP";https://g1.globo.com/sp/itapetininga-regiao/noticia/2025/11/06/mais-de-50-celulares-sao-encontrados-presos-ao-corpo-de-mulher-durante-abordagem-na-raposo-tavares-no-interior-de-sp.ghtml
"Idosa analfabeta receberá quase R$ 15 mil por empréstimo feito sem autorização";https://g1.globo.com/mg/zona-da-mata/noticia/2025/11/06/idosa-analfabeta-recebera-quase-r-15-mil-por-emprestimo-feito-sem-autorizacao.ghtml
"Serão Cultural Casa Freitas";https://g1.globo.com/rr/roraima/especial-publicitario/casa-freitas/noticia/2025/11/06/serao-cultural-casa-freitas.ghtml
"Senado dos EUA discute resolução para impedir Trump de atacar a Venezuela sem aval do Congresso";https://g1.globo.com/mundo/noticia/2025/11/06/senado-dos-eua-discute-resolucao-para-impedir-trump-de-atacar-a-venezuela-sem-aval-do-congresso.ghtml
"Vereadora registra ocorrência após sofrer ofensas e ameaças nas redes sociais por criticar megaoperação";https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/06/vereadora-registra-ocorrencia-apos-sofrer-ofensas-e-ameacas-nas-redes-sociais-por-criticar-megaoperacao.ghtml
"Aulão na Rede: professor de geografia explica o processo de globalização";https://g1.globo.com/ap/amapa/noticia/2025/11/06/aulao-na-rede-professor-de-geografia-explica-o-processo-de-globalizacao.ghtml
"Homem é preso e adolescente apreendido por sequestro e extorsão de motoristas de aplicativo em Itaquaquecetuba";https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2025/11/06/homem-e-preso-e-adolescente-apreendido-por-sequestro-e-extorsao-de-motoristas-de-aplicativo-em-itaquaquecetuba.ghtml
"Suspeito de matar homem com canivete durante confraternização é preso em MG";https://g1.globo.com/mg/zona-da-mata/noticia/2025/11/06/suspeito-de-matar-homem-com-canivete-durante-confraternizacao-e-preso-em-mg.ghtml
"Subsecretário da PM diz que megaoperação teve efeito 'ínfimo' sobre o CV, e vê papel 'simbólico': 'Capaz de entrar em qualquer local'";https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/06/subsecretario-inteligencia-pm-rj-reuniao-megaoperacao-congresso.ghtml
"Câmara rejeita processo de cassação contra o prefeito de São José dos Campos, Anderson Farias (PSD)";https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/11/06/camara-rejeita-processo-de-cassacao-contra-o-prefeito-de-sao-jose-dos-campos-anderson-farias-psd.ghtml
"'O Agente Secreto' estreia no cinema de Rio Branco, veja a programação completa";https://g1.globo.com/ac/acre/noticia/2025/11/06/o-agente-secreto-estreia-no-cinema-de-rio-branco-veja-a-programacao-completa.ghtml
"Polícia investiga maus-tratos contra dois filhotes de cães no interior de SP";https://g1.globo.com/sp/presidente-prudente-e-regiao/noticia/2025/11/06/policia-investiga-maus-tratos-contra-dois-filhotes-de-caes-no-interior-de-sp.ghtml
"Vídeo mostra jovem que se perdeu ao ir para casa de tia momentos antes de ser morta por membro de facção";https://g1.globo.com/ce/ceara/noticia/2025/11/06/video-mostra-jovem-que-se-perdeu-ao-ir-para-casa-de-tia-momentos-antes-de-ser-morta-por-membro-de-faccao.ghtml
"Mais de 50 celulares são encontrados presos ao corpo de mulher durante abordagem na Raposo Tavares no interior de SP";https://g1.globo.com/sp/itapetininga-regiao/noticia/2025/11/06/mais-de-50-celulares-sao-encontrados-presos-ao-corpo-de-mulher-durante-abordagem-na-raposo-tavares-no-interior-de-sp.ghtml
"Idosa analfabeta receberá quase R$ 15 mil por empréstimo feito sem autorização";https://g1.globo.com/mg/zona-da-mata/noticia/2025/11/06/idosa-analfabeta-recebera-quase-r-15-mil-por-emprestimo-feito-sem-autorizacao.ghtml
"Serão Cultural Casa Freitas";https://g1.globo.com/rr/roraima/especial-publicitario/casa-freitas/noticia/2025/11/06/serao-cultural-casa-freitas.ghtml
"Senado dos EUA discute resolução para impedir Trump de atacar a Venezuela sem aval do Congresso";https://g1.globo.com/mundo/noticia/2025/11/06/senado-dos-eua-discute-resolucao-para-impedir-trump-de-atacar-a-venezuela-sem-aval-do-congresso.ghtml
"Vereadora registra ocorrência após sofrer ofensas e ameaças nas redes sociais por criticar megaoperação";https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/06/vereadora-registra-ocorrencia-apos-sofrer-ofensas-e-ameacas-nas-redes-sociais-por-criticar-megaoperacao.ghtml
"Subsecretário da PM diz que megaoperação teve efeito 'ínfimo' sobre o CV, e vê papel 'simbólico': 'Capaz de entrar em qualquer local'";https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/06/subsecretario-inteligencia-pm-rj-reuniao-megaoperacao-congresso.ghtml
"Câmara rejeita processo de cassação contra o prefeito de São José dos Campos, Anderson Farias (PSD)";https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/11/06/camara-rejeita-processo-de-cassacao-contra-o-prefeito-de-sao-jose-dos-campos-anderson-farias-psd.ghtml
"'O Agente Secreto' estreia no cinema de Rio Branco, veja a programação completa";https://g1.globo.com/ac/acre/noticia/2025/11/06/o-agente-secreto-estreia-no-cinema-de-rio-branco-veja-a-programacao-completa.ghtml
"Polícia investiga maus-tratos contra dois filhotes de cães no interior de SP";https://g1.globo.com/sp/presidente-prudente-e-regiao/noticia/2025/11/06/policia-investiga-maus-tratos-contra-dois-filhotes-de-caes-no-interior-de-sp.ghtml
"Vídeo mostra jovem que se perdeu ao ir para casa de tia momentos antes de ser morta por membro de facção";https://g1.globo.com/ce/ceara/noticia/2025/11/06/video-mostra-jovem-que-se-perdeu-ao-ir-para-casa-de-tia-momentos-antes-de-ser-morta-por-membro-de-faccao.ghtml
"Mais de 50 celulares são encontrados presos ao corpo de mulher durante abordagem na Raposo Tavares no interior de SP";https://g1.globo.com/sp/itapetininga-regiao/noticia/2025/11/06/mais-de-50-celulares-sao-encontrados-presos-ao-corpo-de-mulher-durante-abordagem-na-raposo-tavares-no-interior-de-sp.ghtml
"Idosa analfabeta receberá quase R$ 15 mil por empréstimo feito sem autorização";https://g1.globo.com/mg/zona-da-mata/noticia/2025/11/06/idosa-analfabeta-recebera-quase-r-15-mil-por-emprestimo-feito-sem-autorizacao.ghtml
"Serão Cultural Casa Freitas";https://g1.globo.com/rr/roraima/especial-publicitario/casa-freitas/noticia/2025/11/06/serao-cultural-casa-freitas.ghtml
"Senado dos EUA discute resolução para impedir Trump de atacar a Venezuela sem aval do Congresso";https://g1.globo.com/mundo/noticia/2025/11/06/senado-dos-eua-discute-resolucao-para-impedir-trump-de-atacar-a-venezuela-sem-aval-do-congresso.ghtml
"Vereadora registra ocorrência após sofrer ofensas e ameaças nas redes sociais por criticar megaoperação";https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/11/06/vereadora-registra-ocorrencia-apos-sofrer-ofensas-e-ameacas-nas-redes-sociais-por-criticar-megaoperacao.ghtml
