Título da Notícia;Link
"STF rejeita por unanimidade recurso de Bolsonaro em condenação";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/stf-julgamento-recurso-bolsonaro.htm
"Após repercussão negativa, preços de comida na COP30 são reduzidos";https://www.uol.com.br/ecoa/ultimas-noticias/2025/11/07/cop-precos-restaurantes-alta.htm
"Lula testa ideia de novo fundo, e Itamaraty freia tom sobre fósseis";https://www.uol.com.br/ecoa/colunas/ana-carolina-amaral/2025/11/07/lula-testa-ideia-de-novo-fundo-e-itamaraty-freia-tom-sobre-fosseis.htm
"Motta escolhe Derrite como relator do projeto antifacção, prioridade do governo Lula";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/motta-avanca-com-pl-antifaccao.htm
"Suspeito de integrar CV esteve com secretário de Castro para falar de ajuda política, indica PF";https://www1.folha.uol.com.br/cotidiano/2025/11/suspeito-de-integrar-cv-esteve-com-secretario-de-castro-para-falar-de-ajuda-politica-aponta-pf.shtml
"Ciclone extratropical causa estrago no Sul";https://www.uol.com.br/flash/?c=6d0a0b31f63d7855eac27ed2738fe20251107
"F1: Bortoleto lamenta erro que comprometeu classificação no sprint do GP de São Paulo";https://www.uol.com.br/esporte/ultimas-noticias/agencia/2025/11/07/gp-de-sao-paulo-de-f1-bortoleto-lamenta-erro-e-se-desculpa-por-classificacao-da-corrida-sprint.htm
"Fim de semana em SP tem Gianecchini nos palcos, F1 e mais, veja roteiro";https://www.uol.com.br/nossa/noticias/redacao/2025/11/07/programe-se-8-pecas-de-teatro-para-conferir-no-fim-de-semana-em-sao-paulo.htm
"Buraco negro devorador de estrelas libera explosão energética recorde";https://www1.folha.uol.com.br/ciencia/2025/11/buraco-negro-devorador-de-estrelas-libera-explosao-energetica-recorde.shtml
"Cobra que engole um ser humano inteiro pode ser encontrada no Brasil, saiba onde";https://noticias.uol.com.br/meio-ambiente/ultimas-noticias/redacao/2025/11/07/quais-cobras-podem-engolir-um-ser-humano-e-por-que-isso-raramente-acontece.htm
"Ramon Abatti Abel gera revolta em retorno aos gramados após 1 mês suspenso pela CBF";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/ramon-abatti-abel-athletic-ferroviaria.htm
"Palmeiras acerta contratação de zagueiro da Costa do Marfim de 18 anos";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/palmeiras-acerta-contratacao-de-zagueiro-da-costa-do-marfim-de-18-anos.htm
"Homem é detido com R$ 850 mil em dinheiro durante viagem de ônibus de SP a Brasília";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/homem-que-ia-de-sp-a-brasilia-de-onibus-e-detido-com-r-850-mil-em-dinheiro.htm
"Contador do PCC é morto durante confronto com a polícia em São Paulo, diz PM";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/11/07/contador-do-pcc-e-morto-durante-confronto-com-a-policia-em-sp-diz-pm.htm
"Justiça reduz pena de Paulo Preto, a maior da Lava Jato, de 145 para cinco anos";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/maior-pena-da-lava-jato-e-reduzida-de-145-para-5-anos-pela-justica.htm
"Filha de ex-deputado do PT diz que irmão, que matou o pai em surto, não sabe o que fez";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/velorio-ex-deputado-petista-paulo-frateschi.htm
"Turquia emite mandado de prisão contra Netanyahu por genocídio";https://noticias.uol.com.br/internacional/ultimas-noticias/2025/11/07/turquia-emite-mandado-de-prisao-contra-netanyahu-por-genocidio.htm
"Às vésperas da visita de Lula, Colômbia recua e retoma acordo automotivo";https://noticias.uol.com.br/colunas/daniela-lima/2025/11/07/as-vesperas-da-visita-de-lula-colombia-recua-e-retoma-acordo-automotivo.htm
"Fábio Serapião estreia coluna no UOL sobre crime organizado e corrupção";https://economia.uol.com.br/noticias/redacao/2025/11/07/crime-organizado-e-corrupcao-conheca-nova-coluna-do-uol-com-fabio-serapiao.htm
"Mulher é condenada a 64 anos de prisão por matar carbonizada ex-namorada da filha";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/11/07/mulher-acusada-de-matar-ex-da-filha-carbonizada-no-rj-e-condenada-a-64-anos.htm
"Para que serve clonazepam, remédio que intoxicou adolescentes em São Paulo?";https://www.uol.com.br/vivabem/noticias/redacao/2025/11/07/para-que-serve-clonazepam-remedio-que-intoxicou-adolescentes-em-sao-paulo.htm
"Faça sombra ou faça sol: dez plantas versáteis para o jardim";https://tuacasa.uol.com.br/plantas-versateis-para-o-jardim/
"Com 83 anos de casados, americanos se tornam o casal mais velho do mundo";https://noticias.uol.com.br/internacional/ultimas-noticias/2025/11/07/americanos-assumem-posto-de-brasileiros-e-viram-o-casal-maisvelhodomundo.htm
"Muito mais casos? O que explica o aumento de diagnósticos de autismo e TDAH";https://www.uol.com.br/vivabem/noticias/redacao/2025/11/07/muito-mais-casos-o-que-explica-o-aumento-de-autismo-e-tdah-hoje-em-dia.htm
"Envenenamento e irmã suspeita: o que se sabe do caso de casal morto em Minas Gerais";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/11/07/casal-gay-morto-em-mg-policia-confirma-substancia-e-fraude-em-receitas.htm
"'Carcaça atrás de carcaça': rodovia da morte mata milhares de animais raros em MS";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/11/07/mais-de-2-mil-animais-morrem-atropelados-na-rodovia-da-morte-no-pantanal.htm
"Avião pousa 'de lado' por causa de vento forte em Santa Catarina";https://www.uol.com.br/flash/?c=b284f7589d5c456f6f4ed0e7a62e6a20251107
"Quais metas Elon Musk precisa cumprir para receber R$ 4,7 trilhões da Tesla";https://economia.uol.com.br/noticias/redacao/2025/11/07/o-que-elon-musk-precisa-cumprir-para-receber-us-878-bilhoes-da-tesla.htm
"'Futuro da guerra': EUA planejam compra de 1 milhão de drones em três anos";https://www.uol.com.br/tilt/noticias/reuters/2025/11/07/exercito-dos-eua-planeja-comprar-1-milhao-de-drones-em-ate-3-anos.htm
"Com mais de 11 mil avaliações, travesseiro 'de hotel' sai a R$ 85 com cupom";https://www.uol.com.br/guia-de-compras/ultimas-noticias/2025/11/07/travesseiro-buddmeyer-vale-a-pena-descubra-opinioes-de-quem-usou.htm
"";https://www.uol.com.br/guia-de-compras/ultimas-noticias/2025/11/07/travesseiro-buddmeyer-vale-a-pena-descubra-opinioes-de-quem-usou.htm
"Sinal de Wi-Fi está ruim? Micro-ondas e geladeira podem ser os vilões";https://www.uol.com.br/tilt/noticias/redacao/2025/11/07/o-sinal-de-wi-fi-esta-ruim-micro-ondas-e-geladeira-podem-ser-os-viloes.htm
"O que é ciclopia? Doença rara fez gato nascer com um olho só em Rondônia";https://noticias.uol.com.br/meio-ambiente/ultimas-noticias/redacao/2025/11/07/o-que-e-ciclopia-doenca-rara-fez-gato-nascer-com-um-olho-so-em-rondonia.htm
"Após repercussão negativa, preços de comida na COP30 são reduzidos";https://www.uol.com.br/ecoa/ultimas-noticias/2025/11/07/cop-precos-restaurantes-alta.htm
"Homem é detido com R$ 850 mil em dinheiro indo de SP a Brasília de ônibus";https://noticias.uol.com.br/politica/ultimas-noticias/2025/11/07/homem-que-ia-de-sp-a-brasilia-de-onibus-e-detido-com-r-850-mil-em-dinheiro.htm
"Hilbert chora após filha relatar situação delicada com colega";https://www.uol.com.br/splash/noticias/2025/11/07/rodrigo-hilbert-chorou-ao-ouvir-filha-relatar-situacao-delicada-com-colega.htm
"Mulher é condenada a 64 anos de prisão por matar carbonizada ex-namorada da filha";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2025/11/07/mulher-acusada-de-matar-ex-da-filha-carbonizada-no-rj-e-condenada-a-64-anos.htm
"Josias de Souza: Silêncio das ruas marca crepúsculo de Bolsonaro";https://noticias.uol.com.br/colunas/josias-de-souza/2025/11/07/trilha-sonora-do-crepusculo-de-bolsonaro-e-o-silencio-das-ruas.htm
"Mesmo com receitas no radar, Corinthians pode continuar com transfer ban";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/remedio-amargo-e-inevitavel-diz-samir-sobre-crise-do-corinthians.htm
"Paraguai convoca jogadores de Palmeiras e Santos para amistosos contra EUA e México";https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/11/07/palmeiras-e-santos-tem-atletas-convocados-pelo-paraguai-e-sofrem-baixas-para-classico.htm
"CBF define arbitragem para partida entre Flamengo e Santos, no Maracanã";https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/11/07/flamengo-x-santos-cbf-define-arbitragem-para-duelo-pelo-brasileirao.htm
"Mbappé se envolve em polêmica com Orelsan, um dos principais 'rappers' da França";https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/11/07/mbappe-se-envolve-em-polemica-com-rapper-frances.htm
"Fla se preocupa com mental de Plata e avalia que Filipe Luís acertou ao blindar jogador";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/preocupacao-e-nao-perder-o-plata-diz-bruno-braz-sobre-o-flamengo.htm
"Corinthians confirma lesão muscular, e Raniele vira desfalque contra o Ceará";https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2025/11/07/raniele-sofre-lesao-no-adutor-e-desfalca-corinthians-contra-o-ceara.htm
"Palmeiras é favorito ao título brasileiro? Colunistas analisam chances";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/vejo-50-para-cada-um-diz-milly-lacombe-sobre-favoritismo-do-palmeiras.htm
"Memphis é convocado pela Holanda em rodada decisiva das Eliminatórias";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/11/07/memphis-e-convocado-pela-holanda-em-rodada-decisiva-das-eliminatorias.htm
"Crime revela que apenas uma pessoa sabe que Rogério está vivo em 'Três Graças'";https://www.uol.com.br/splash/noticias/2025/11/07/a-prova-de-que-uma-unica-pessoa-sabe-que-rogerio-esta-vivo-em-tres-gracas.htm
"Assinante UOL tem 10% de desconto na pré-venda do CarnaUOL 2026, veja regras";https://www.uol.com.br/splash/noticias/2025/11/06/assinante-uol-tem-10-de-desconto-na-pre-venda-do-carnauol-2026.htm
"Crítica tece elogios a 'Lux', novo disco de Rosalía, ouça participações";https://www.uol.com.br/flash/?c=29ef9616920f375b1682f43e7f5455020251107
"'O Naufrágio de Heweliusz' é baseado em fatos reais? Conheça a minissérie";https://www.uol.com.br/splash/noticias/estadao-conteudo/2025/11/07/o-naufragio-de-heweliusz-e-baseado-em-fatos-reais-conheca-a-nova-minisserie-da-netflix.htm
"Danilo salva a vida de Filipa, mas vira alvo de vingança de Jaques em 'Dona de Mim'";https://noticiasdatv.uol.com.br/noticia/novelas/danilo-salva-a-vida-de-filipa-mas-vira-alvo-de-vinganca-de-jaques-em-dona-de-mim-143131
"Clube UOL: Assinante UOL tem 10% OFF no ingresso do CarnaUOL 2026";https://clube.uol.com.br/carnauol2026/oAI-10-off-no-carnauol-2026?utm_source=splash_CARNAUOL_0711&utm_medium=splash_CARNAUOL_0711
"Bastidores de 'Avatar' e hall da fama do rock: o que ver na TV e no streaming no sábado";https://www1.folha.uol.com.br/ilustrada/2025/11/bastidores-de-avatar-e-hall-da-fama-do-rock-o-que-ver-na-tv-e-streaming-no-sabado.shtml
"Artistas do Theatro Municipal protestam contra gestora após afastamento de músico";https://www1.folha.uol.com.br/ilustrada/2025/11/artistas-do-theatro-municipal-protestam-contra-gestora-apos-afastamento-de-musico.shtml
"Em live, Christiane Torloni diz que cena de 'A Viagem' a fez reviver luto do filho";https://www.uol.com.br/splash/noticias/2025/11/07/foi-muito-dificil-cena-de-a-viagem-christiane-torloni.htm
"Trump se irrita com preço da carne nos EUA e manda investigar frigoríficos";https://noticias.uol.com.br/internacional/ultimas-noticias/2025/11/07/trump-manda-investigar-frigorificos-por-elevarem-preco-da-carne-bovina.htm
"SUS pode ter perdido R$ 7,3 bilhões em vacinas e insumos de 2021 a 2023, diz CGU";https://www1.folha.uol.com.br/equilibrioesaude/2025/11/sus-pode-ter-perdido-r-73-bi-em-vacinas-e-insumos-de-2021-a-2023-diz-cgu.shtml
"Governador bolsonarista chama Eduardo de 'louco' e diz que ele está 'falando m* nos EUA'";https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2025/11/07/governador-bolsonarista-chama-eduardo-bolsonaro-de-louco-e-diz-que-ele-esta-falando-bobagem.htm
